@RELATION winner
@ATTRIBUTE c1 NUMERIC
@ATTRIBUTE c101 NUMERIC
@ATTRIBUTE c2 NUMERIC
@ATTRIBUTE c102 NUMERIC
@ATTRIBUTE class {1,2}
@DATA
1.131,1.2450000047683716,4.169,1.0,1
1.184,1.0,3.658,1.0,1
1.48,1.2450000047683716,2.387,1.0,2
1.271,1.3179999589920044,3.093,0.14000004529953003,1
1.159,2.499000072479248,3.877,1.0,1
1.574,0.44699999690055847,2.204,1.0,2
1.075,1.0,5.0,1.0,1
1.337,1.3350000381469727,2.803,0.0,1
1.803,-2.0,1.912,1.0,2
1.369,-0.625999927520752,2.691,-0.8690000176429749,2
1.103,1.184000015258789,4.541,0.0,1
1.194,2.38700008392334,3.573,0.0,1
1.532,0.24500000476837158,2.28,1.3760000467300415,1
1.457,1.0,2.44,1.0,1
2.021,1.5740001201629639,1.702,1.0,2
1.493,1.0,2.359,-1.0,1
1.599,1.5889999866485596,2.163,0.5169999599456787,2
1.245,1.0309998989105225,3.234,-4.23799991607666,2
1.432,-1.5889999866485596,2.504,-1.9689998626708984,2
1.326,2.128000020980835,2.844,1.5920000076293945,2
1.188,1.406000018119812,3.623,0.7170000076293945,1
1.473,-0.6260000467300415,2.403,-1.1460000276565552,1
1.201,4.910000324249268,3.522,-5.638999938964844,1
1.642,2.6730000972747803,2.1,1.7020000219345093,2
1.925,-1.0040000677108765,1.79,-1.7220001220703125,1
1.378,1.031000018119812,2.659,-1.5889999866485596,1
2.725,1.5740000009536743,1.359,0.0,1
1.253,1.222999930381775,3.191,-1.7220001220703125,1
1.809,1.0,1.923,1.0,2
1.196,4.0320000648498535,3.56,1.0,1
1.354,1.3179999589920044,2.741,1.6720000505447388,1
1.179,1.0,3.699,0.0,1
1.184,1.0,3.651,1.0,1
1.538,1.184000015258789,2.269,-1.7960000038146973,1
1.544,1.722000002861023,2.258,1.593999981880188,1
1.186,0.593999981880188,3.641,2.247999906539917,1
1.33,1.2480000257492065,2.829,1.321000099182129,1
2.156,3.436000108718872,1.604,-0.5609999895095825,1
1.486,0.6370000243186951,2.373,-2.7799999713897705,2
1.02,1.0,6.373,1.0,1
1.086,1.1880000829696655,4.8,0.0,1
1.188,-1.0,3.625,-1.0,2
1.598,1.0199999809265137,2.166,1.0,2
1.472,1.0,2.406,1.1790000200271606,2
1.689,0.671999990940094,2.037,1.4930000305175781,2
1.288,-5.638999938964844,3.009,0.0,2
1.392,5.511000156402588,2.618,-0.9290000796318054,1
1.191,2.2660000324249268,3.6,1.0,1
1.133,1.0,4.148,0.0,2
1.669,-2.7960000038146973,2.063,0.7799999713897705,1
1.379,1.0,2.658,0.0,1
1.147,1.0,4.0,5.124000072479248,1
1.567,-2.625,5.227,1.850000023841858,1
1.204,5.228000164031982,3.497,1.9229999780654907,1
1.235,4.619000434875488,3.292,1.0,1
1.258,0.019999999552965164,3.162,1.0,1
1.295,1.0,2.975,0.0,1
1.389,1.0,2.625,2.5849997997283936,2
1.238,-0.21999996900558472,3.273,3.1479997634887695,2
1.453,0.8580000400543213,2.451,-1.2200000286102295,1
1.227,-2.126999855041504,3.344,5.421000003814697,1
1.197,3.1610000133514404,3.55,-2.999000072479248,1
1.397,0.0,2.602,1.0,1
1.077,-3.438999891281128,4.971,1.0,1
1.774,-0.36299994587898254,1.941,0.0679999589920044,1
1.266,0.5359999537467957,3.118,1.0,1
1.535,1.2039999961853027,2.274,1.0,2
1.279,-0.9290000796318054,3.052,-3.938000202178955,2
1.098,5.529999732971191,4.615,-0.5869998931884766,1
1.221,2.6389999389648438,3.383,1.7450000047683716,1
1.396,1.378999948501587,2.604,0.0,1
1.356,0.9229999780654907,2.734,2.009000062942505,1
1.244,1.2740000486373901,3.237,-1.0,1
2.148,2.801999807357788,3.955,-2.0,1
1.354,1.2360000610351562,2.741,1.0,1
1.068,0.5889999866485596,5.125,1.0,1
1.553,3.2119998931884766,2.241,1.5180000066757202,1
1.283,0.0,3.031,1.0,1
1.35,5.446000099182129,2.755,-2.2919998168945312,1
1.119,-0.18199992179870605,4.319,-3.2330002784729004,1
1.123,0.367000013589859,4.264,-2.1740000247955322,1
1.442,4.082000255584717,2.477,-0.8889999985694885,2
2.255,-1.3229999542236328,1.545,1.0,1
1.091,-3.1009998321533203,4.719,1.0,2
1.699,1.0,2.025,1.0,1
1.217,-2.361999750137329,3.409,1.0,1
1.324,-0.9319999814033508,2.854,1.0,1
1.412,-2.1679999828338623,2.559,0.4159998893737793,2
1.314,1.0,2.894,0.0,1
1.367,-2.2200000286102295,2.696,-1.0,2
1.568,1.310999870300293,2.214,1.3140000104904175,1
1.313,1.2039999961853027,2.899,4.124000072479248,2
1.075,-1.3750001192092896,5.005,0.0,1
2.006,-0.8529999852180481,4.355,0.8500000238418579,1
1.563,2.5899999141693115,2.223,0.656999945640564,2
1.29,1.0,3.002,0.0,1
1.556,4.4679999351501465,2.235,3.444000005722046,2
1.44,0.5180000066757202,2.483,-1.0,1
1.271,1.0,3.092,1.0,2
1.656,0.6960000991821289,2.081,4.421000003814697,2
1.571,0.0,2.209,-3.2199997901916504,2
1.288,0.931999921798706,3.008,1.0750000476837158,2
1.051,1.880000114440918,5.5,1.0,1
1.165,-4.154999732971191,3.824,0.39699995517730713,1
1.253,1.1469999551773071,3.186,2.2739999294281006,2
1.664,0.0,2.069,-1.0,1
1.598,-2.8980000019073486,2.165,0.0,2
1.367,1.774999976158142,2.697,1.278999924659729,1
1.01,0.31400007009506226,6.905,-2.821000099182129,1
2.605,-0.15000000596046448,3.236,1.0,2
1.783,-2.0,1.958,-2.0,2
2.155,4.525000095367432,1.605,4.914999961853027,1
1.806,1.2949999570846558,1.909,0.9580000638961792,1
1.158,-2.2920000553131104,3.885,-2.1740000247955322,1
1.892,4.8329997062683105,1.824,-0.09299995005130768,1
1.195,-0.2780001163482666,3.564,1.9749999046325684,2
1.455,0.4110000431537628,2.446,4.718999862670898,1
1.159,-1.3690000772476196,3.881,-0.24300003051757812,1
1.284,-2.990000009536743,3.029,-0.6079999804496765,1
1.01,3.9149999618530273,6.815,-3.82099986076355,1
1.888,-2.010999917984009,1.828,0.3140000104904175,1
1.178,-1.899999976158142,3.702,-0.30400002002716064,1
1.325,5.272000312805176,2.849,-0.08899994194507599,1
1.72,0.13100004196166992,2.0,-2.1560001373291016,1
1.812,4.210000038146973,1.903,3.0920000076293945,1
2.427,3.8849997520446777,1.463,-2.296999931335449,2
1.178,0.28299999237060547,3.707,1.0,1
1.484,2.5390002727508545,2.378,-4.484000205993652,2
1.631,0.937000036239624,2.116,1.587999939918518,1
2.393,3.8849997520446777,1.477,-3.2309999465942383,2
1.547,-1.5549999475479126,2.251,-3.126999855041504,2
1.222,1.8510000705718994,3.377,-0.8339999318122864,1
1.225,-1.0,3.358,-1.3040000200271606,1
1.183,1.8789997100830078,3.659,-2.303999900817871,1
1.665,-0.7749999761581421,2.068,-0.6859999895095825,1
1.557,0.9549999237060547,2.404,-0.12099999934434891,1
2.121,-2.611999988555908,1.627,0.4049999713897705,1
1.073,1.930999994277954,5.03,1.0,1
1.368,-1.7060000896453857,2.694,0.8660000562667847,1
1.671,5.475999355316162,2.06,2.568000316619873,2
1.449,-0.24300003051757812,2.46,6.0229997634887695,2
1.217,0.1469999998807907,3.41,0.6640000343322754,1
2.037,-2.1679999828338623,1.689,-1.5870000123977661,2
1.224,1.0,3.365,0.0,2
6.0,-2.610999822616577,1.032,-3.741999864578247,2
1.163,0.0,3.836,2.365000009536743,1
1.358,1.5429999828338623,2.727,-1.9299999475479126,1
1.459,-0.4909999966621399,2.436,-0.875999927520752,2
2.188,-0.8989999294281006,1.584,-3.8600001335144043,2
1.624,0.0,2.125,2.0920000076293945,1
1.135,2.003999948501587,4.129,4.539000034332275,1
2.62,5.247000217437744,1.391,1.8760000467300415,2
1.524,4.065999984741211,2.296,1.559999942779541,1
1.419,0.6190000176429749,2.539,2.1419999599456787,1
1.01,4.085000514984131,6.715,-3.3400001525878906,1
2.201,4.431999683380127,1.576,4.628000259399414,2
1.561,4.056000232696533,2.226,-0.6590001583099365,2
1.612,-1.7220001220703125,2.144,-0.11000001430511475,1
1.18,2.061999797821045,3.685,5.501999855041504,1
1.374,-1.6859999895095825,2.674,4.501999855041504,2
1.238,0.36400002241134644,3.278,7.482999801635742,1
1.461,1.0,2.43,1.0,1
1.48,2.1659998893737793,2.386,2.1010000705718994,1
1.14,3.7649998664855957,4.075,-1.0420000553131104,1
1.213,2.1389999389648438,3.433,-0.3380002975463867,1
1.604,1.0920000076293945,2.156,0.0,2
1.29,2.241999626159668,3.0,-1.1099998950958252,1
1.276,-1.1100001335144043,3.068,-2.686000108718872,1
1.881,2.5319998264312744,1.836,-0.8340001106262207,1
1.244,0.5610001087188721,3.242,-0.27799999713897705,1
1.495,2.3519999980926514,2.354,2.0,2
1.328,3.99399995803833,2.837,0.30900004506111145,2
1.142,-1.4259998798370361,4.046,4.460000038146973,1
1.26,2.9639999866485596,3.15,-3.5490000247955322,1
1.301,1.0,2.952,1.9670000076293945,1
1.281,0.9670000076293945,3.044,-4.548999786376953,1
1.731,3.9499998092651367,4.5,-1.3289999961853027,1
1.41,1.0,2.565,1.0,2
1.574,-0.3370000123977661,2.205,6.215000152587891,1
1.461,1.0,2.432,2.4129998683929443,2
1.236,3.9050002098083496,3.29,1.1009999513626099,1
