% MIN=0	-1	-0.3	-0.3	-1	0	
% MAX=5	1	0.3	0.3	1	250	
% SCALE=1	0.5	0.1	0.1	1	100	
% DEC=3	3	4	4	4	1	
% DEF="Time" t / s	"Voltage" U_1 / V	"Current" I_1 / A	"New Quantity" I_a / A	"New Quantity" P / W	"Frequency" f / Hz	
0.37	0.165	0.0036	NAN	NAN	NAN	
0.372	0.165	0.0036	NAN	NAN	NAN	
0.374	0.17	0.0033	0.00348	-0.0005916	NAN	
0.376	0.17	0.00345	NAN	NAN	NAN	
0.378	0.17	0.00345	NAN	NAN	NAN	
0.38	0.17	0.00405	NAN	NAN	NAN	
0.382	0.17	0.00375	NAN	NAN	NAN	
0.384	0.175	0.00345	0.0036	-0.00063	NAN	
0.386	0.175	0.0033	NAN	NAN	NAN	
0.388	0.175	0.00345	NAN	NAN	NAN	
0.39	0.175	0.00375	NAN	NAN	NAN	
0.392	0.175	0.00375	NAN	NAN	NAN	
0.394	0.175	0.003	0.00345	-0.00060375	NAN	
0.396	0.18	0.0033	NAN	NAN	NAN	
0.398	0.18	0.00345	NAN	NAN	NAN	
0.4	0.18	0.00375	NAN	NAN	NAN	
0.402	0.18	0.00375	NAN	NAN	NAN	
0.404	0.18	0.0033	0.00351	-0.0006318	NAN	
0.406	0.185	0.0033	NAN	NAN	NAN	
0.408	0.185	0.00345	NAN	NAN	NAN	
0.41	0.185	0.00375	NAN	NAN	NAN	
0.412	0.185	0.0039	NAN	NAN	NAN	
0.414	0.185	0.0033	0.00351	-0.00064935	NAN	
0.416	0.185	0.00315	NAN	NAN	NAN	
0.418	0.19	0.00345	NAN	NAN	NAN	
0.42	0.19	0.0036	NAN	NAN	NAN	
0.422	0.19	0.00375	NAN	NAN	NAN	
0.424	0.19	0.00345	0.00351	-0.0006669	NAN	
0.426	0.19	0.0033	NAN	NAN	NAN	
0.428	0.195	0.00345	NAN	NAN	NAN	
0.43	0.195	0.0036	NAN	NAN	NAN	
0.432	0.195	0.0036	NAN	NAN	NAN	
0.434	0.195	0.0033	0.00348	-0.0006786	NAN	
0.436	0.195	0.0033	NAN	NAN	NAN	
0.438	0.195	0.0036	NAN	NAN	NAN	
0.44	0.2	0.00375	NAN	NAN	NAN	
0.442	0.2	0.00375	NAN	NAN	NAN	
0.444	0.2	0.0033	0.00351	-0.000702	NAN	
0.446	0.2	0.0033	NAN	NAN	NAN	
